institution_location	specimen_origin	collection_code	collection_name	collection_name2
		TTU-PCUC	Texas Tech University. Plants of Culberson County	
Texas	Louisiana	TTU-PLA	Texas Tech University. Plants of Louisiana	
Texas		TTU-PMJ	Texas Tech University. Plants of Maryam Jalali	
Texas	Mexico	TTU-PMX	Texas Tech University. Plants of Mexico	
Texas	Montana	TTU-PMO	Texas Tech University. Plants of Montana	
Texas	New Mexico	TTU-PNM	Texas Tech University. Plants of New Mexico	
Texas	Texas	TTU-RGA	Texas Tech University. Plants of Rio Grande Area, Texas	
Texas	Texas	TTU-PTX	Texas Tech University. Plants of Texas	
Texas	Texas	TTU-PTX-KC	Texas Tech University. Plants of Texas. Kimble County	
Texas	Texas	TTU-PTX-LUC	Texas Tech University. Plants of Texas. Lubbock County	
Texas	Texas	TTU-PTX-TAC	Texas Tech University. Plants of Texas. Tarrant County	
Texas	Virginia	TTU-PVI	Texas Tech University. Plants of Virginia	
Texas		H-TTC	Texas Technological College Herbarium	
Texas	Texas	H-TTC-AH-PLUC	Texas Technological College Herbarium. Agronomy Herbarium. Plants of Dickens County, Texas	
Texas	Texas	H-TTC-AH-PLUC	Texas Technological College Herbarium. Agronomy Herbarium. Plants of Lubbock County, Texas	
Texas	Texas	H-TTC-PBWC	Texas Technological College Herbarium. Plants of Brewster County, Texas	
		H-TTC-PBRC	Texas Technological College Herbarium. Plants of Briscoe County, Texas	
Texas	Texas	H-TTC-PCRC	Texas Technological College Herbarium. Plants of Crosby County, Texas	
Texas	Texas	H-TTC-PDAC	Texas Technological College Herbarium. Plants of Dawson County, Texas	
Texas	Texas	H-TTC-PDIC	Texas Technological College Herbarium. Plants of Dickens County, Texas	
Texas	Texas	H-TTC-PECC	Texas Technological College Herbarium. Plants of Ector County, Texas	
Texas	Texas	H-TTC-PELC	Texas Technological College Herbarium. Plants of El Paso County, Texas	
Texas	Texas	H-TTC-PGAC	Texas Technological College Herbarium. Plants of Garza County, Texas	
Texas	Texas	H-TTC-PHAC	Texas Technological College Herbarium. Plants of Hale County, Texas	
Texas	Texas	H-TTC-PHC	Texas Technological College Herbarium. Plants of Hemphill County, Texas	
Texas	Texas	H-TTC-PKC	Texas Technological College Herbarium. Plants of Kaufman County, Texas	
Texas	Texas	H-TTC-PLAC	Texas Technological College Herbarium. Plants of Lamb County, Texas	
Texas	Texas	H-TTC-PLLC	Texas Technological College Herbarium. Plants of Llano County, Texas	
